run_id,T1_C,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
000,377.32,214.27,-163.05,4.999,-32.614236649
001,275.52,113.77,-161.75,5.0,-32.347496044
002,391.01,201.99,-189.02,5.0,-37.807071624
003,414.68,248.93,-165.75,4.998,-33.163822722
004,265.8,123.53,-142.27,5.0,-28.456441435
005,441.04,219.97,-221.07,5.001,-44.206152971
006,396.77,229.99,-166.78,5.0,-33.353270091
007,370.99,217.16,-153.83,4.997,-30.782392912
008,337.99,184.04,-153.95,4.999,-30.798360976
009,346.44,186.72,-159.72,5.0,-31.943903463
010,292.64,129.19,-163.45,4.999,-32.693776493
011,267.44,107.75,-159.69,5.0,-31.93853432
012,268.44,112.79,-155.65,5.001,-31.125712083
013,294.38,130.95,-163.43,5.0,-32.683478482
014,315.17,155.87,-159.3,4.999,-31.866291542
015,409.32,230.36,-178.96,5.0,-35.788927055
016,349.69,193.59,-156.1,4.999,-31.226753466
017,383.59,147.37,-236.22,5.0,-47.241531987
018,246.25,94.4,-151.85,5.0,-30.368147239
019,400.73,187.91,-212.82,5.001,-42.555040721
020,400.43,144.79,-255.64,5.0,-51.124943952
021,262.19,127.25,-134.94,5.001,-26.983507952
022,361.07,136.97,-224.1,5.0,-44.816757438
023,287.17,121.93,-165.24,5.0,-33.046909957
024,313.91,130.39,-183.52,4.999,-36.710638912
025,291.47,110.21,-181.26,5.0,-36.253075759
026,272.88,120.48,-152.4,5.0,-30.481477352
027,244.94,114.66,-130.28,5.001,-26.052634248
028,283.63,123.9,-159.73,5.0,-31.945708103
029,428.95,169.02,-259.93,5.0,-51.986115245
030,280.17,123.47,-156.7,5.001,-31.33588487
031,215.58,91.25,-124.33,5.001,-24.863224741
032,473.62,177.96,-295.66,5.001,-59.122555046
033,301.14,129.6,-171.54,4.999,-34.31291185
034,491.81,216.96,-274.85,4.999,-54.985442112
035,241.59,99.1,-142.49,5.0,-28.496217482
036,417.73,212.95,-204.78,5.001,-40.948348294
037,300.98,145.6,-155.38,5.0,-31.078746721
038,268.37,102.91,-165.46,5.0,-33.089166758
039,339.01,134.15,-204.86,5.0,-40.968138563
040,294.28,125.84,-168.44,5.0,-33.689678383
041,388.8,157.23,-231.57,5.0,-46.314354859
042,445.05,167.72,-277.33,5.0,-55.469031118
043,368.84,126.69,-242.15,5.0,-48.431970454
044,368.87,153.26,-215.61,5.002,-43.107493719
045,489.58,184.05,-305.53,5.0,-61.106484492
046,579.98,276.48,-303.5,4.999,-60.709659883
047,324.44,154.06,-170.38,5.0,-34.078249897
048,356.05,138.97,-217.08,5.0,-43.413111517
049,301.05,133.76,-167.29,5.0,-33.458090955
050,258.15,109.14,-149.01,5.0,-29.802419174
051,298.4,136.16,-162.24,5.001,-32.441700876
052,294.41,126.24,-168.17,5.0,-33.633972066
053,481.19,226.94,-254.25,4.999,-50.859844264
054,258.82,115.27,-143.55,5.0,-28.70919076
055,403.9,208.42,-195.48,5.0,-39.095482225
056,312.53,158.95,-153.58,5.0,-30.714917208
057,349.23,164.54,-184.69,5.0,-36.934385382
058,456.46,152.4,-304.06,5.0,-60.807805903
059,309.01,150.18,-158.83,5.001,-31.758882854
060,232.68,101.99,-130.69,4.999,-26.140622976
061,321.63,137.02,-184.61,5.0,-36.923191653
062,290.1,121.49,-168.61,5.0,-33.724788323
063,322.23,139.06,-183.17,5.0,-36.633434783
064,505.25,207.96,-297.29,4.999,-59.470917808
065,238.26,92.36,-145.9,4.999,-29.183869695
066,335.7,167.36,-168.34,5.001,-33.662282592
067,510.41,198.5,-311.91,5.001,-62.375512449
068,289.98,129.45,-160.53,5.0,-32.108903737
069,320.14,146.57,-173.57,5.0,-34.716108357
070,253.69,105.34,-148.35,5.0,-29.667786693
071,374.61,147.2,-227.41,5.0,-45.482032469
072,319.22,147.04,-172.18,5.001,-34.427346664
073,282.35,120.11,-162.24,5.0,-32.448725265
074,271.61,110.35,-161.26,5.0,-32.249527286
075,375.01,181.8,-193.21,5.0,-38.642202269
076,371.41,196.9,-174.51,5.001,-34.897159968
077,267.82,100.21,-167.61,5.0,-33.521983659
078,392.87,150.49,-242.38,5.0,-48.478666408
079,351.51,188.6,-162.91,5.001,-32.578530424
080,429.81,245.01,-184.8,5.001,-36.954933293
081,364.31,140.86,-223.45,5.0,-44.691031018
082,353.78,174.09,-179.69,5.001,-35.932245312
083,356.47,144.2,-212.27,5.001,-42.446816714
084,324.05,164.64,-159.41,5.002,-31.867943256
085,NaN,NaN,NaN,NaN,NaN
086,367.72,151.84,-215.88,5.001,-43.167181817
087,316.44,136.06,-180.38,4.999,-36.080269557
088,354.02,148.37,-205.65,5.0,-41.126415544
089,306.1,142.09,-164.01,5.0,-32.804133513
090,391.45,153.23,-238.22,5.0,-47.643421259
091,296.59,121.52,-175.07,5.0,-35.012008118
092,313.02,128.31,-184.71,4.999,-36.946701146
093,282.15,115.01,-167.14,4.999,-33.433673119
094,313.81,162.19,-151.62,5.0,-30.324279749
095,298.44,119.97,-178.47,5.0,-35.697213046
097,418.27,262.64,-155.63,5.0,-31.126222693
098,271.6,101.21,-170.39,5.0,-34.076567344
099,458.36,203.53,-254.83,4.999,-50.977368097
10,NaN,NaN,NaN,NaN,NaN
